ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
sec,kph,rpm,deg,deg,cm,cm,kPa,N,N,N,N-m,N-m,none,none,deg C,deg C,deg C,deg C,deg F,none
627.079,40.15,411.17,-0.695,1.015,25.084,25.907,53.62,-84.38,342.87,-1088.85,-13.23,-10.16,0.08,-0.31,27.14,52.49,58.23,58.73,84.45,-0.032
627.099,40.18,411.33,-0.780,1.021,25.077,25.912,53.69,-81.79,423.11,-1097.25,-14.28,-13.73,0.07,-0.39,27.12,52.41,58.15,58.63,84.43,-0.032
627.119,40.20,411.53,-0.867,1.019,25.081,25.917,53.75,-79.70,505.32,-1097.73,-15.88,-17.29,0.07,-0.46,26.96,52.32,58.06,58.52,84.44,-0.032
627.139,40.22,411.72,-0.951,1.025,25.078,25.913,53.69,-59.94,590.17,-1093.62,-16.54,-17.43,0.05,-0.54,27.08,52.26,57.93,58.42,84.44,-0.032
627.159,40.25,411.68,-1.038,1.018,25.080,25.933,53.35,-54.48,667.98,-1079.72,-20.38,-21.71,0.05,-0.62,27.08,52.13,57.85,58.33,84.42,-0.033
627.179,40.30,411.64,-1.125,1.029,25.075,25.967,53.49,-67.45,748.61,-1069.85,-22.05,-27.72,0.06,-0.70,27.16,52.03,57.74,58.23,84.46,-0.034
627.199,40.33,411.60,-1.205,1.024,25.073,25.993,53.42,-77.03,831.70,-1070.04,-18.59,-31.51,0.07,-0.78,27.04,51.95,57.60,58.11,84.42,-0.035
627.219,40.32,411.64,-1.282,1.024,25.069,25.984,53.35,-79.93,903.58,-1071.25,-19.35,-34.09,0.07,-0.84,27.00,51.90,57.50,58.01,84.46,-0.035
627.239,40.31,411.72,-1.354,1.022,25.061,25.969,53.28,-78.44,967.84,-1075.30,-22.95,-37.21,0.07,-0.90,27.04,51.78,57.38,57.89,84.43,-0.035
627.259,40.31,411.88,-1.427,1.019,25.060,25.956,53.35,-70.74,1037.69,-1080.50,-24.11,-38.80,0.07,-0.96,27.08,51.71,57.22,57.76,84.43,-0.035
627.279,40.32,411.92,-1.506,1.021,25.052,25.958,53.28,-56.48,1106.51,-1071.12,-28.24,-39.71,0.05,-1.03,27.08,51.63,57.14,57.65,84.43,-0.035
627.299,40.32,411.80,-1.582,1.021,25.046,25.968,53.42,-56.41,1181.13,-1069.87,-28.51,-45.38,0.05,-1.10,27.00,51.50,56.98,57.56,84.43,-0.036
627.319,40.30,411.68,-1.674,1.021,25.040,25.962,53.35,-68.53,1251.50,-1063.04,-30.14,-52.76,0.06,-1.18,27.10,51.41,56.83,57.44,84.45,-0.036
627.339,40.29,411.60,-1.750,1.019,25.034,25.960,53.22,-70.92,1314.43,-1063.25,-29.65,-54.16,0.07,-1.24,27.20,51.34,56.73,57.34,84.42,-0.036
627.359,40.27,411.41,-1.829,1.019,25.026,25.956,53.28,-72.52,1371.22,-1069.28,-29.49,-54.01,0.07,-1.28,27.14,51.22,56.59,57.23,84.45,-0.036
627.379,40.24,411.33,-1.911,1.018,25.021,25.939,53.35,-67.57,1416.82,-1073.52,-32.65,-53.44,0.06,-1.32,27.14,51.15,56.50,57.14,84.42,-0.035
627.399,40.21,411.33,-1.987,1.021,25.012,25.919,53.28,-51.67,1468.78,-1085.32,-32.80,-51.21,0.05,-1.35,27.18,51.06,56.37,57.01,84.45,-0.035
